sn,sector,company_name,ticker,company_id,year,quarter,period,month,no._of_months,turnoverrevenue_gross_earnings_gross_premium_income_n(k),profit_before_tax_n(k),profit_after_tax_n(k),total_comprehensive_income_n(k),property_plant_and__equipment_n(k),total_asset_n(k),total_liabilities_n(k),issued_share_capital_n(k)
2867,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2019,1,2019:Q1,MAR,3,122963,,80133,,,11063857,1242217,
2868,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2019,2,2019:Q2,JUN,6,235863,,144217,,69253,11106645,1217921,
2869,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2019,3,2019:Q3,SEP,9,,,,,80499,11250869,1209620,9406353
2870,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2019,4,2019:Q4,DEC,12,537248,,,,9505081,11071414,-1260984,9406353
2871,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2020,1,2020:Q1,MAR,3,,,,,84788,11121298,1211594,
2872,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2020,2,2020:Q2,JUN,6,,,,,84788,11122411,-1126992,
2873,CONSTRUCTION/REAL ESTATE,Union Homes Real Estate Investment Trust,UHOMREIT,163,2020,3,2020:Q3,SEP,9,,,,,9421297,10919077,1154037,
2874,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2015,1,2015:Q1,MAR,3,83098000,18389000,16956000,15440000,89151000,2964094000,2683248000,16491000
2875,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2015,2,2015:Q2,JUN,6,165743000,39046000,31999000,34185000,89254000,2929278000,2621647000,18140000
2876,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2015,3,2015:Q3,SEP,9,245492000,57366000,48557000,56367000,89698000,2872591000,2550033000,18140000
2877,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2015,4,2015:Q4,DEC,12,314844000,68454000,59654000,65822000,88825000,2752622000,2420001000,18140000
2878,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2016,1,2016:Q1,MAR,3,73658000,18083000,16986000,14713000,88280000,2733679000,2386345000,18140000
2879,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2016,2,2016:Q2,JUN,6,165580000,34756000,27107000,83268000,90170000,3289981000,2882080000,18140000
2880,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2016,3,2016:Q3,SEP,9,265527000,58798000,49512000,118349000,92468000,3478833000,3045453000,18140000
2881,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2016,4,2016:Q4,DEC,12,339854000,90642000,72264000,138150000,93932000,3504470000,3056401000,18140000
2882,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2017,1,2017:Q1,MAR,3,101249000,25470000,22350000,23882000,97789000,3655293000,3183342000,18140000
2883,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2017,2,2017:Q2,JUN,6,194424000,57531000,42339000,53216000,98944000,3690289000,3207158000,18140000
2884,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2017,3,2017:Q3,SEP,9,333905000,78325000,60920000,75501000,100598000,3770585000,3262958000,18140000
2885,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2017,4,2017:Q4,DEC,12,412494000,104222000,77548000,105317000,107636000,4069474000,3541695000,17100000
2886,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2018,1,2018:Q1,MAR,3,187915000,26555000,23736000,34975000,108779000,4295187000,3757568000,17100000
2887,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2018,2,2018:Q2,JUN,6,237462000,58140000,43792000,30481000,108969000,4267653000,3771401000,17100000
2888,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2018,3,2018:Q3,SEP,9,576579000,79111000,61698000,50355000,112852000,4507166000,3997880000,17100000
2889,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2018,4,2018:Q4,DEC,12,462390000,106766000,78607000,45334000,115973000,4869738000,4367130000,17100000
2890,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2019,1,2019:Q1,MAR,3,125522000,30156000,28664000,40608000,119986000,5114757000,4571540000,17100000
2891,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2019,2,2019:Q2,JUN,6,260944000,70274000,56739000,62080000,118571000,5102123000,4559665000,17100000
2892,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2019,3,2019:Q3,SEP,9,428219000,98233000,81628000,81990000,120953000,4960895000,4405367000,17100000
2893,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2019,4,2019:Q4,DEC,12,541553000,111287000,89089000,124173000,128499000,5604052000,5006074000,17100000
2894,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2020,1,2020:Q1,MAR,3,23128800,32726000,30101000,14660000,133601000,6351071000,5738433000,17100000
2895,FINANCIAL SERVICES: BANKING,United Bank for Africa Plc,UBA,165,2020,2,2020:Q2,JUN,6,57129000,44431000,64115000,64115000,144963000,6775365000,6140632000,17100000
2896,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2015,3,2015:Q3,SEP,9,4088429,2397398,1910357,1870471,168114,191686670,179336960,3000000
2897,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2015,4,2015:Q4,DEC,12,6153729,3263663,2570472,2544141,158703,144106093,133685542,3000000
2898,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2016,1,2016:Q1,MAR,3,1856577,1421627,1137842,953291,168114,191686670,179336960,3000000
2899,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2016,2,2016:Q2,JUN,6,3655358,2581329,3591152,3406601,168114,191686670,179336960,3000000
2900,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2016,3,2016:Q3,SEP,9,5689419,3962784,4696316,4645554,168114,191686670,179336960,3000000
2901,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2016,4,2016:Q4,DEC,12,9000955,6366734,6913221,5917381,170937,160692959,146455027,3000000
2902,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2017,1,2017:Q1,MAR,3,2113242,1395439,1172169,1723338,274175,168379950,155418679,3000000
2903,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2017,2,2017:Q2,JUN,6,3876115,2377565,1997154,3386244,272779,149157680,134533504,3000000
2904,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2017,3,2017:Q3,SEP,9,6238506,3897093,3273558,3990771,288759,151943906,136715202,3000000
2905,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2017,4,2017:Q4,DEC,12,8915487,5547829,4362304,5528749,248155,136595561,119828881,3000000
2906,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2018,1,2018:Q1,MAR,3,2202728,1492707,1253874,1352059,243093,140441192,124676729,3000000
2907,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2018,2,2018:Q2,JUN,6,3881023,2393662,2010676,3838090,245034,135294072,117027161,3000000
2908,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2018,3,2018:Q3,SEP,9,5969173,3669958,3082764,3717866,342118,138701524,120554837,3000000
2909,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2018,4,2018:Q4,DEC,12,9259398,6221246,4337989,4361832,301351,148697064,132863057,3000000
2910,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2019,1,2019:Q1,MAR,3,1451272,766868,644169,823653,271653,153146063,138268120,3000000
2911,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2019,2,2019:Q2,JUN,6,3239596,1987336,1669362,2018514,258003,141301352,124968518,3000000
2912,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2019,3,2019:Q3,SEP,9,5322666,3289126,2762865,2418944,304861,149549120,133015855,3000000
2913,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2019,4,2019:Q4,DEC,12,8591929,4949720,4973419,5751832,357118,150464375,130878536,3000000
2914,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2020,1,2020:Q1,MAR,3,1919015,1176404,991287,1131782,338095,197409118,176691497,3000000
2915,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2020,2,2020:Q2,JUN,6,4446675,2267515,1913297,1537679,322679,219728099,201604581,3000000
2916,FINANCIAL SERVICES: OTHERS,United Capital Plc,UCAP,166,2020,3,2020:Q3,SEP,9,7069171,4123312,3463582,3492747,318403,211525338,191447532,3000000
2917,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2015,1,2015:Q1,MAR,3,16510930,4264384,3624726,3678720,18922585,411874831,331932116,5844669
2918,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2015,2,2015:Q2,JUN,6,33562953,8774876,7897389,8236031,18884546,429662782,345162756,5844669
2919,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2015,3,2015:Q3,SEP,9,49200862,10347838,9313054,9860009,21223816,440097589,353973586,5844669
2920,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2015,4,2015:Q4,DEC,12,78173941,2342666,4689156,5835130,18968143,443321012,360746481,5844669
2921,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2016,1,2016:Q1,MAR,3,21853170,1056852,972304,920546,20412951,447164404,363669328,5844669
2922,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2016,2,2016:Q2,JUN,6,21775801,2614779,2353301,715519,20160698,467571373,384281322,5844669
2923,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2016,3,2016:Q3,SEP,9,64575764,3806206,3425585,988336,19876625,476150235,392587367,5844669
2924,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2016,4,2016:Q4,DEC,12,84012662,1816431,2183798,532449,22800643,492681647,409574667,5844669
2925,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2017,1,2017:Q1,MAR,3,20170542,730822,657740,864897,22525166,509933199,425961322,5844669
2926,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2017,2,2017:Q2,JUN,6,42354417,2328611,2095750,2555000,22246823,489120925,403458946,5844669
2927,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2017,3,2017:Q3,SEP,9,65026818,2720197,2448177,908708,21813331,483720756,399705067,5844669
2928,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2017,4,2017:Q4,DEC,12,89925696,-14242574,-14917938,-13824514,21501055,156506504,398699659,5844669
2929,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2018,1,2018:Q1,MAR,3,8794145,485408,446575,-127886,21244812,193030237,435351278,5844669
2930,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2018,2,2018:Q2,JUN,6,17491586,535651,492799,2113695,21194742,196751904,436831363,5844669
2931,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2018,3,2018:Q3,SEP,9,26125456,643783,585842,-114065,20854071,254151801,496459019,5844669
2932,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2018,4,2018:Q4,DEC,12,20660775,1411053,1269435,649412,20602236,235976190,479663155,5844669
2933,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2019,1,2019:Q1,MAR,3,10049642,505292,464868,894161,20314108,268590337,511383141,5844669
2934,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2019,2,2019:Q2,JUN,6,20546893,1051645,967514,537994,20300395,267790320,510939291,5844669
2935,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2019,3,2019:Q3,SEP,9,31256552,1611026,1482144,1119914,20270849,300293829,542860881,5844669
2936,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2020,2,2020:Q2,JUN,6,22865670,1120412,1030779,214274,22181854,445949450,724591064,5844669
2937,FINANCIAL SERVICES: BANKING,Unity Bank Plc,UNITYBNK,167,2020,3,2020:Q3,SEP,9,33429721,1710777,1573915,554931,22019780,420870033,699170989,5844669
2938,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2015,1,2015:Q1,MAR,3,960039.709,276242.717,217369.902,217369.902,2195619.621,10920995.84,1604769.546,6933333.333
2939,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2015,2,2015:Q2,JUN,6,1442384.543,321815.439,275290.607,275290.607,2249663,11257900,1788020,6933333.333
2940,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2015,3,2015:Q3,SEP,9,2023833.257,312938.046,265997.339,265997.339,2261489,11157306,1696653,6933333.333
2941,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2015,4,2015:Q4,DEC,12,2684534,441617,321981,-20584,2518219,11428295,1676823,6933333.333
2942,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2016,1,2016:Q1,MAR,3,626130.525,45013.381,39264.665,39264.665,2038400.135,10966975.953,1543850.553,6933333.333
2943,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2016,2,2016:Q2,JUN,6,1257420.799,188201.825,163827.48,163827.48,2032410.112,10947308.108,1399619.892,6933333.333
2944,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2016,3,2016:Q3,SEP,9,1700076.141,215382.32,171738.066,171738.066,2026057.741,10916404.255,1569845.502,6933333.333
2945,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2016,4,2016:Q4,DEC,12,2197357,408911,285686,1041573,3183747,11246440,1626569,6933333
2946,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2017,1,2017:Q1,MAR,3,631261.317,224889.888,199481.638,199481.638,2879730.38,12162547.64,1851413.436,6933333.333
2947,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2017,2,2017:Q2,JUN,6,1655440.632,301019.157,244692.909,244692.909,2874996.424,11974488.64,1618143.164,6933333.333
2948,FINANCIAL SERVICES: INSURANCE,Unity Capital Assurance Plc,UNITYKAP,168,2017,3,2017:Q3,SEP,9,1894248,257630,206024.827,206024.827,2878930.894,11630897.631,1382553.57,6933333.333
2949,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2017,4,2017:Q4,DEC,12,2383069,-558605,-700642,-699444,3183537,11334642,2483882,6933333
2950,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2018,1,2018:Q1,MAR,3,958241,125890,100712,100712,2909157,10599847,2607251,6933333
2951,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2018,2,2018:Q2,JUN,6,1478278,93621,65535,,2841081,10971206,3013787,6933333
2952,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2018,3,2018:Q3,SEP,9,1994002,101160,94546,94546,2921180,11166123,3178495,6933333
2953,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2018,4,2018:Q4,DEC,12,2952515,-262881,-695252,-480966,3654376,12044232,3687846,6933333
2954,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2019,1,2019:Q1,MAR,3,688968,252503,127081,127081,2740351,11053999,3145513,6933333
2955,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2019,2,2019:Q2,JUN,6,1492488,162527,60912,,2845912,11531618,3689304,6933333
2956,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2019,3,2019:Q3,SEP,9,2348884,193839,82831,82831,2824340,11605173,3740939,69333333
2957,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2019,4,2019:Q4,DEC,12,2953792,455446,274099,294130,2877521,11228805,3153272,6933333
2958,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2020,1,2020:Q1,MAR,3,681454,53301,37311,,2894318,11460710,3475445,6933333
2959,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2020,2,2020:Q2,JUN,6,1366228,131422,91995,,2881709,11572630,3532681,6933333
2960,FINANCIAL SERVICES: INSURANCE,Unity Kapital Assurance Plc,UNITYKAP,168,2020,3,2020:Q3,SEP,9,3197112,249600,174720,,2955829,13360274,5237601,6933333
2961,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2015,1,2015:Q1,MAR,3,181164,44619,42387,42387,2414004,11255504,2554577,8000000
2962,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2015,2,2015:Q2,JUN,6,304934,44712,42476,42476,2398801,11487071,2786057,8000000
2963,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2015,3,2015:Q3,SEP,9,502130,82142,78035,78035,2854071,11949751,2660393,8000000
2964,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2015,4,2015:Q4,DEC,12,656826,-156780,-186330,-38097,2883659,13618472,2921964,8000000
2965,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2016,1,2016:Q1,MAR,3,206853,71726,68140,71222,2858934,10888688,2515885,8000000
2966,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2016,2,2016:Q2,JUN,6,269181,-62963,-66549,-63467,2842480,11452986,2695913,8000000
2967,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2016,3,2016:Q3,SEP,9,373995,-87531,-91907,494647,2976605,11753886,2953659,8000000
2968,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2016,4,2016:Q4,DEC,12,573837,125929,92692,643939,2952267,13819274,3176686,8000000
2969,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2017,1,2017:Q1,MAR,3,263769,-12056,-12659,13938,2882350,11900684,3028699,8000000
2970,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2017,2,2017:Q2,JUN,6,326841,-279248,-287346,-178704,2852867,12037295,3356756,8000000
2971,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2017,3,2017:Q3,SEP,9,524625,-298409,-307063,25748,2832850,12100510,3219608,8000000
2972,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2018,1,2018:Q1,MAR,3,274968,131953,118098,118098,2783583,12307829,3307718,8000000
2973,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2018,2,2018:Q2,JUN,6,418335,-12524,-17847,-17847,2762647,12723675,3244370,8000000
2974,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2018,3,2018:Q3,SEP,9,661349,681,844,844,2751054,12735585,3237590,8000000
2975,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2018,4,2018:Q4,DEC,12,1379607,-37943,-45577,-41238,2874540,13881998,3586517,8000000
2976,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2019,1,2019:Q1,MAR,3,783051,61438,47000,47000,2617213,12799030,3368372,8000000
2977,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2019,2,2019:Q2,JUN,6,1088316,-166803,-173058,-173058,2806157,12996367,3719000,8000000
2978,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2019,3,2019:Q3,SEP,9,1541374,100235,90712,90712,2806976,13154941,3613802,8000000
2979,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2019,4,2019:Q4,DEC,12,1879756,184840,154341,154341,2736818,12911391,3306624,8000000
2980,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2020,1,2020:Q1,MAR,3,787911,385178,369572,369572,2739440,10576168,2147506,8000000
2981,FINANCIAL SERVICES: INSURANCE,Universal Insurance Plc,UNIVINSURE,169,2020,2,2020:Q2,JUN,6,1397125,215677,215677,206295,2687266,10884740,2323365,8000000
2982,SERVICES,University Press Plc,UPL,170,2015,1,2015:Q1,JUN,3,145234,-75875,-75875,-75875,1196830,2823883,653201,215705
2983,SERVICES,University Press Plc,UPL,170,2015,2,2015:Q2,SEP,6,1140355,273840,191512,191512,1172790,3305874,954087,215705
2984,SERVICES,University Press Plc,UPL,170,2015,3,2015:Q3,DEC,9,1379187,189859,132690,132690,1173385,3078228,785263,215705
2985,SERVICES,University Press Plc,UPL,170,2015,4,2015:Q4,MAR,12,1728123,199200,136394,164525,1220385,2845573,573860,215705
2986,SERVICES,University Press Plc,UPL,170,2016,1,2016:Q1,JUN,3,110320,-92911,-92911,-92911,1342857,3016525,749631,215705
2987,SERVICES,University Press Plc,UPL,170,2016,2,2016:Q2,SEP,6,1273637,333647,232719,232719,1319860,3871966,1301012,215705
2988,SERVICES,University Press Plc,UPL,170,2016,3,2016:Q3,DEC,9,1505386,258181,176286,176286,1295234,3669581,1155061,215705
2989,SERVICES,University Press Plc,UPL,170,2016,4,2016:Q4,MAR,12,1471938,70207,73276,174374,1365108,3116664,756859,215705
2990,SERVICES,University Press Plc,UPL,170,2017,1,2017:Q1,JUN,3,132236,-89185,-89185,-89185,1086052,3194945,811985,215705
2991,SERVICES,University Press Plc,UPL,170,2017,2,2017:Q2,SEP,6,1402436,382858,270436,270436,1063681,3400233,696905,215705
2992,SERVICES,University Press Plc,UPL,170,2017,3,2017:Q3,DEC,9,1715007,361117,217542,217542,1051999,3492765,846219,215705
2993,SERVICES,University Press Plc,UPL,170,2017,4,2017:Q4,MAR,12,1608370,164941,118418,133910,1110875,3518499,1046354,215705
2994,SERVICES,University Press Plc,UPL,170,2018,1,2018:Q1,JUN,3,375298,-41485,-41485,-41485,1175129,3183854,797588,215705
2995,SERVICES,University Press Plc,UPL,170,2018,2,2018:Q2,SEP,6,1385830,470246,351098,351098,1155607,3951506,1135953,215705
2996,SERVICES,University Press Plc,UPL,170,2018,3,2018:Q3,DEC,9,2201682,375868,263108,263108,1135286,3496541,733341,215705
2997,SERVICES,University Press Plc,UPL,170,2019,1,2019:Q1,JUN,3,95939,-144473,-144473,-144473,1118655,3098067,633446,215705
2998,SERVICES,University Press Plc,UPL,170,2019,2,2019:Q2,SEP,6,1656613,435296,317646,317646,1186511,4053330,1191302,215705
2999,SERVICES,University Press Plc,UPL,170,2019,3,2019:Q3,DEC,9,1871997,298591,211376,211376,1148088,3569557,813799,215705
3000,SERVICES,University Press Plc,UPL,170,2019,4,2019:Q4,MAR,12,2315705,165534,109003,109003,1261039,3484700,875605,215705
3001,SERVICES,University Press Plc,UPL,170,2020,2,2020:Q2,SEP,6,293621,-92945,-92945,,1094678,3283912,705289,431410
3002,SERVICES,University Press Plc,UPL,170,2020,4,2020:Q4,MAR,12,2065606,199396,145129,,1170281,3435561,746050,215705
3003,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2015,1,2015:Q1,DEC,3,4511617,164502,108179,120287,4404094,12713385,8954897,491400
3004,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2015,2,2015:Q2,MAR,6,9321884,547535,341121,,3878751,12344330,9015871,491400
3005,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2015,3,2015:Q3,JUN,9,13842239,521944,335329,,5409858,13522288,9627771,491400
3006,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2015,4,2015:Q4,SEP,12,16853042,213097,-71981,227260,4512483,12849555,9536165,491400
3007,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2016,1,2016:Q1,DEC,3,5287262,150809,83581,98685,3778738,12638881,9031738,491400
3008,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2016,2,2016:Q2,MAR,6,8047622,37739,-49607,,4380018,12064753,8652977,491400
3009,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2016,3,2016:Q3,JUN,9,10991947,-49144,-159029,,4718221,12511767,8778726,491400
3010,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2016,4,2016:Q4,SEP,12,13569876,61198,-32032,-198455,3828622,13345546,9837088,491400
3011,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2017,1,2017:Q1,DEC,3,5053702,258536,162171,65035,3564230,14993793,11420010,521035
3012,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2017,2,2017:Q2,MAR,6,10567395,313463,204939,81165,3469570,12397267,8888343,521035
3013,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2017,3,2017:Q3,JUN,9,14762732,258144,133718,-34390,3633635,13226874,9967719,521034
3014,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2018,1,2018:Q1,DEC,3,6388573,513126,361872,373118,2618562,15384041,11128216,521035
3015,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2018,2,2018:Q2,MAR,6,10711141,486519,309774,251306,3525235,13819998,10289961,521035
3016,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2018,3,2018:Q3,JUN,9,16001181,788400,515202,386110,3458682,14390628,10635613,521035
3017,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2019,1,2019:Q1,DEC,3,5984213,1179829,819674,837861,2939392,17219573,10441998,625422
3018,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2019,2,2019:Q2,MAR,6,12938126,1147689,774742,840630,2633049,14081294,9675578,521035
3019,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2019,3,2019:Q3,JUN,9,18824789,1656184,1142698,1220338,2562599,12756999,7971650,521035
3020,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2019,4,2019:Q4,SEP,12,22283163,3495838,2464705,2398883,2970551,13821574,7851864,625422
3021,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2020,2,2020:Q2,MAR,6,11960341,2365258,1691995,1706926,3058867,17230849,10130359,625422
3022,CONSUMER GOODS,Vitafoam Nigeria Plc,VITAFOAM,171,2020,3,2020:Q3,JUN,9,16470572,3048024,2141623,2153390,5007330,18358087,10811657,625422
3023,FINANCIAL SERVICES: INSURANCE,Wapic Insurance Plc,WAPIC,172,2015,1,2015:Q1,MAR,3,1411555,179920,110044,880406,1721358,23779576,8714037,6691369
3024,FINANCIAL SERVICES: INSURANCE,Wapic Insurance Plc,WAPIC,172,2015,2,2015:Q2,JUN,6,2760970,108845,18786,640682,1785456,23534618,8693311,6691369
